#header	info#																								
47	#latitude	used	for	cacluating	drought	index	in	model	bugmann#																
1590	#meter	a.s.l.	-	1000	of	climate	station#																		
																									
#temperature	laps	rate	with	increasing	altitude:	#																			
-0.34	-0.44	-0.57	-0.65	-0.67	-0.65	-0.61	-0.56	-0.5	-0.42	-0.39	-0.31														
																									
#precipitation	laps	rate	with	increasing	altitude:	#																			
2.28	2.44	2.06	1.44	1.49	1.95	2.16	2.15	0.66	0.38	1.66	2.57														
																									
100	#meter:	corrections	(see	above)	every	x	meter.	#																	
																									
#	mean	monthly	temperature	?C	total	monthly	precipitation	mm	#																
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
1	-6.04	-3.45	-0.93	0.54	6.43	9.15	13.95	11.85	7.74	5.86	0.88	-6.69	47.69	65.58	143.35	61.89	99.9	80.8	144.89	159.63	99.3	52.64	70.27	30.44
2	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
3	-4.22	-6.85	-1.3	1.9	8.84	8.45	12.89	10.48	10.17	6.18	-0.84	-8.44	30.41	46.49	18.33	78.25	121.5	155.99	131.36	147.4	39.29	4.9	112.03	33.63
4	-5.77	-1.91	-0.86	5.38	6	11.98	11.83	12.35	12.06	5.02	-0.58	-3.26	37.1	140.1	44.36	45.53	135.31	98.44	83.9	97.24	14.08	49.85	24.05	71.17
5	-5.77	-1.91	-0.86	5.38	6	11.98	11.83	12.35	12.06	5.02	-0.58	-3.26	37.1	140.1	44.36	45.53	135.31	98.44	83.9	97.24	14.08	49.85	24.05	71.17
6	-5.77	-1.91	-0.86	5.38	6	11.98	11.83	12.35	12.06	5.02	-0.58	-3.26	37.1	140.1	44.36	45.53	135.31	98.44	83.9	97.24	14.08	49.85	24.05	71.17
7	-3.75	-7.84	-0.7	2.34	4.65	10.25	14.46	10.59	9.15	4.42	0.32	-4.03	167.57	29.15	31.58	59.73	192.37	60.28	47.71	119.5	154.02	46.63	69.72	44.9
8	-7.42	-0.02	-3.28	3.24	6.4	10.93	10.19	9.9	9.68	7.2	-3.85	-4.85	46.36	59.29	95.54	50.21	107.55	132.25	204.37	148.17	64.66	57.94	87.61	126.2
9	-3.95	-9.15	-2.13	0.35	5.1	10.21	11.1	10.18	6.48	5.4	-1.71	-4.04	37.95	37.45	64.6	70	115.7	153.71	136.38	139.98	209.5	2.97	82.95	192.21
10	-3.95	-9.15	-2.13	0.35	5.1	10.21	11.1	10.18	6.48	5.4	-1.71	-4.04	37.95	37.45	64.6	70	115.7	153.71	136.38	139.98	209.5	2.97	82.95	192.21
11	-5.77	-1.91	-0.86	5.38	6	11.98	11.83	12.35	12.06	5.02	-0.58	-3.26	37.1	140.1	44.36	45.53	135.31	98.44	83.9	97.24	14.08	49.85	24.05	71.17
12	-4.22	-6.85	-1.3	1.9	8.84	8.45	12.89	10.48	10.17	6.18	-0.84	-8.44	30.41	46.49	18.33	78.25	121.5	155.99	131.36	147.4	39.29	4.9	112.03	33.63
13	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
14	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
15	-3.75	-7.84	-0.7	2.34	4.65	10.25	14.46	10.59	9.15	4.42	0.32	-4.03	167.57	29.15	31.58	59.73	192.37	60.28	47.71	119.5	154.02	46.63	69.72	44.9
16	-3.57	-2.55	1.07	0.06	6.37	9.68	11.36	9.94	7.14	6.77	-1.88	-2.44	67.24	119.23	74.05	120.39	73.61	85.91	154.57	200.08	45.84	32.81	68.56	60.42
17	-3.57	-2.55	1.07	0.06	6.37	9.68	11.36	9.94	7.14	6.77	-1.88	-2.44	67.24	119.23	74.05	120.39	73.61	85.91	154.57	200.08	45.84	32.81	68.56	60.42
18	-8.26	-6.71	0.86	3.67	6.45	9.65	9.6	11.5	8.34	3.38	-2.64	-5.38	157.84	30.65	77.3	16	93.08	62.63	230.83	62.72	149.39	103.57	74.37	97.29
19	-5.65	-3.61	0.54	2.94	8.77	11.61	10.55	10.84	7.19	3.3	-0.21	-4.2	45.82	43.6	47.85	38.16	89.64	96.56	167.09	212.71	197.33	155.02	59.14	37.81
20	-3.57	-2.55	1.07	0.06	6.37	9.68	11.36	9.94	7.14	6.77	-1.88	-2.44	67.24	119.23	74.05	120.39	73.61	85.91	154.57	200.08	45.84	32.81	68.56	60.42
21	-2.1	-2	0.38	2	5.8	7.71	11.95	12.51	8.42	-1.29	-1.14	-3.01	85.99	68.15	36.17	36.85	111.15	161.05	139.23	112.02	123.68	92.82	109.15	118.61
22	-5.13	-2.58	-2.09	2.29	7.52	11.71	11.94	9.67	6.88	5.63	-1.89	-5.93	95.35	11.47	10.2	36.6	76.94	99.58	187.84	107.45	204.95	97.61	75.77	83
23	-3.07	-6.02	-3.24	-0.75	7.9	11.13	11.07	14.14	10.12	3.48	-1.12	-4.46	46.32	55.28	19.25	60.62	85.7	122.61	165.84	93.03	108.92	79.27	119.98	133.75
24	-5.65	-3.61	0.54	2.94	8.77	11.61	10.55	10.84	7.19	3.3	-0.21	-4.2	45.82	43.6	47.85	38.16	89.64	96.56	167.09	212.71	197.33	155.02	59.14	37.81
25	-5.94	-7.38	-4.45	-0.47	4.07	8.27	10.55	10.78	6.53	5.53	2.24	-3.3	61.82	81.76	38.93	25.22	67.14	109.75	54.94	99.38	213.33	44.97	37.05	26.64
26	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
27	-3.65	-5.55	-4.23	-0.39	4.54	11.27	11.64	11.85	9.71	3.67	0.44	-5.64	39.55	226.27	84.21	104.07	91.06	71.98	109.61	255.33	77.86	132.55	88.11	33.35
28	-6.21	-2.45	-1.91	-1.45	4.45	7.66	9.04	11.94	9.08	2.8	-1.5	-6.15	48.41	59.4	44.78	54.77	56.08	171.85	170.09	87.12	19.55	159.77	35.45	56.61
29	-2.1	-2	0.38	2	5.8	7.71	11.95	12.51	8.42	-1.29	-1.14	-3.01	85.99	68.15	36.17	36.85	111.15	161.05	139.23	112.02	123.68	92.82	109.15	118.61
30	-4.35	-5.84	-5.26	1.34	4.68	9.35	10.64	13	7.73	4.66	-2.76	-7.5	99.21	138.89	47.15	72.58	100.33	42.22	66.99	82.64	96.18	12.11	35.4	161.74
31	-2.1	-2	0.38	2	5.8	7.71	11.95	12.51	8.42	-1.29	-1.14	-3.01	85.99	68.15	36.17	36.85	111.15	161.05	139.23	112.02	123.68	92.82	109.15	118.61
32	-3.57	-2.55	1.07	0.06	6.37	9.68	11.36	9.94	7.14	6.77	-1.88	-2.44	67.24	119.23	74.05	120.39	73.61	85.91	154.57	200.08	45.84	32.81	68.56	60.42
33	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
34	-5.65	-3.61	0.54	2.94	8.77	11.61	10.55	10.84	7.19	3.3	-0.21	-4.2	45.82	43.6	47.85	38.16	89.64	96.56	167.09	212.71	197.33	155.02	59.14	37.81
35	-3.65	-5.55	-4.23	-0.39	4.54	11.27	11.64	11.85	9.71	3.67	0.44	-5.64	39.55	226.27	84.21	104.07	91.06	71.98	109.61	255.33	77.86	132.55	88.11	33.35
36	-6.04	-3.45	-0.93	0.54	6.43	9.15	13.95	11.85	7.74	5.86	0.88	-6.69	47.69	65.58	143.35	61.89	99.9	80.8	144.89	159.63	99.3	52.64	70.27	30.44
37	-3.35	-4.57	-3.39	0.27	6.27	9.99	12.64	10.79	10	3.99	0.86	-3.53	133.63	4.08	46.43	15.54	63.02	194.85	92.41	175.15	69.48	39.88	59.03	61.67
38	-5.77	-1.91	-0.86	5.38	6	11.98	11.83	12.35	12.06	5.02	-0.58	-3.26	37.1	140.1	44.36	45.53	135.31	98.44	83.9	97.24	14.08	49.85	24.05	71.17
39	-6.04	-3.45	-0.93	0.54	6.43	9.15	13.95	11.85	7.74	5.86	0.88	-6.69	47.69	65.58	143.35	61.89	99.9	80.8	144.89	159.63	99.3	52.64	70.27	30.44
40	-4.35	-5.84	-5.26	1.34	4.68	9.35	10.64	13	7.73	4.66	-2.76	-7.5	99.21	138.89	47.15	72.58	100.33	42.22	66.99	82.64	96.18	12.11	35.4	161.74
41	-4.22	-0.82	1.95	1.7	6.15	9.26	11.45	11.33	5.49	3.4	-1	-2.83	14.4	10.4	24.15	78.45	95.33	121.4	174.75	58.85	28.44	106.6	93.13	15.99
