year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
0, 2, 2, 890, 0.0712673, 0.0712673, 1326.47, 1262.05, -2.4, 51.324, 54.1018, 147.41
1, 2, 2, 890, 0.208302, 0.208302, 1729.23, 1658.09, -4.2, 48.4004, 57.8598, 127.13
2, 2, 2, 890, 3.29427e-09, 4.2355e-09, 1363.19, 1162.96, -1.2, 56.5628, 56.5628, 150.44
3, 2, 2, 890, 0.207778, 0.207778, 1540.34, 1479.34, -0.5, 42.7762, 54.5715, 92.14
4, 2, 2, 890, 0.0488104, 0.0488104, 1449.15, 1380.81, -3.5, 52.2449, 54.5373, 167.44
5, 2, 2, 890, 1.03131e-08, 1.03131e-08, 1312.33, 1203.6, -1, 52.6776, 52.6776, 136.04
6, 2, 2, 890, 0.29835, 0.29835, 1336.27, 1289.58, -2.5, 37.6481, 53.2001, 176.4
7, 2, 2, 890, 0.055452, 0.0633737, 1500.99, 1301.16, -2.8, 55.0855, 56.8368, 95.8
8, 2, 2, 890, 9.69558e-09, 9.69558e-09, 1112.64, 1013.24, -4.9, 52.1823, 52.1823, 155.34
9, 2, 2, 890, 0.0140505, 0.0140505, 1152.94, 1069.83, -2.6, 51.9674, 52.3281, 140.76
10, 2, 2, 890, 7.78317e-09, 7.78317e-09, 1101.86, 1054.49, -10.7, 49.8066, 49.8066, 160.84
11, 2, 2, 890, 8.58468e-09, 1.03016e-08, 1268.59, 1115.25, -0.1, 54.4112, 54.4112, 135.08
12, 2, 2, 890, 1.79275e-08, 1.79275e-08, 1380.8, 1284.41, -2.3, 52.6495, 52.6495, 176.94
13, 2, 2, 890, 0.255584, 0.255584, 1546.37, 1381.33, -1.1, 50.7186, 57.8684, 108.87
14, 2, 2, 890, 1.58786e-08, 1.58786e-08, 1191.4, 1104.25, -1.4, 53.1205, 53.1205, 176.29
15, 2, 2, 890, 1.27144e-08, 1.27144e-08, 1468.2, 1320.49, -0.5, 56.223, 56.223, 192.85
16, 2, 2, 890, 0.0964262, 0.0964262, 1143.21, 1107.74, -2.8, 45.3821, 49.4529, 141.27
17, 2, 2, 890, 0.00606888, 0.00606888, 1276.77, 1188.89, -6.5, 52.7632, 53.1181, 153.56
18, 2, 2, 890, 0.166374, 0.166374, 1431.3, 1346.26, -0.2, 47.3076, 54.3885, 119.56
19, 2, 2, 890, 1.03356e-08, 1.03356e-08, 1120.99, 1072.51, -5, 50.2548, 50.2548, 222.96
20, 2, 2, 890, 4.1083e-09, 4.1083e-09, 1307.53, 1233.84, -2.3, 52.7049, 52.7049, 188.67
21, 2, 2, 890, 0.111381, 0.111381, 1352.2, 1250.85, -2, 48.7182, 53.2595, 152.09
22, 2, 2, 890, 0.00439112, 0.00439112, 1223.2, 1142.63, -1.9, 52.2331, 52.4573, 182.21
23, 2, 2, 890, 0.129332, 0.129332, 1343.77, 1289.33, -3.8, 47.91, 52.9056, 156.74
24, 2, 2, 890, 2.89478e-09, 2.89478e-09, 1281.66, 1195.36, -2.7, 50.8006, 50.8006, 210.52
25, 2, 2, 890, 0.137402, 0.137402, 1445.12, 1351.74, -2.9, 48.657, 54.8868, 105.74
