decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
0, 0, 6.69465, 7.91624, 12.3665, 5.58827, 811, 0.0625
0, 0, 8.36491, 7.9164, 14.9397, 9.4998, 813, 0.0625
0, 0, 6.69057, 10.1003, 17.256, 7.54383, 814, 0.0625
0, 0, 6.9037, 9.62643, 12.5301, 3.54761, 815, 0.0625
0, 1.45145, 9.52172, 7.62138, 15.597, 5.59459, 816, 0.125
0, 0, 15.4718, 0, 0, 12.0085, 817, 0.0625
0, 0, 9.16342, 3.87799, 11.5034, 9.41613, 818, 0.125
0, 0, 8.44881, 15.1116, 7.92372, 2.59295, 819, 0.125
0, 0, 10.4711, 9.76284, 16.2291, 4.50372, 820, 0.125
0, 0, 9.43917, 11.3237, 10.8182, 5.00431, 821, 0.1875
0, 0, 9.99372, 3.87876, 12.776, 4.36754, 822, 0.125
0, 0.4241, 4.81807, 9.69733, 13.4133, 2.7298, 823, 0.25
0, 0, 7.85112, 8.69453, 11.1126, 6.2787, 824, 0.125
0, 0, 9.04005, 11.2365, 9.96189, 6.18786, 825, 0.1875
0, 0, 12.2508, 11.7051, 4.08647, 3.48075, 826, 0.25
0, 0.485127, 6.50157, 7.22398, 16.5994, 6.73412, 827, 0.1875
0, 0.873417, 8.22945, 8.56204, 11.8481, 3.16691, 828, 0.3125
0, 0, 11.9707, 3.21087, 13.3616, 9.91949, 829, 0.1875
0, 0.291261, 9.98807, 8.13444, 5.97373, 7.53526, 830, 0.3125
0, 0, 8.00575, 7.76008, 9.9551, 4.73236, 831, 0.1875
0, 0.29138, 10.3196, 8.34903, 14.9565, 4.96904, 832, 0.3125
0, 0.48573, 14.543, 6.33331, 10.2931, 3.41284, 833, 0.375
0, 0, 6.41909, 11.2397, 14.9276, 5.80187, 834, 0.25
0, 0.242959, 4.68662, 10.3989, 11.4814, 6.66974, 835, 0.4375
0, 0.425258, 7.72557, 8.56398, 13.521, 3.13986, 836, 0.25
0, 0, 7.36847, 8.83179, 14.6036, 6.14321, 837, 0.25
0, 0.208366, 9.77864, 8.75549, 10.5301, 4.01745, 838, 0.4375
0, 0, 3.38663, 15.9915, 6.18436, 3.75416, 839, 0.25
0, 0.405297, 9.90169, 8.68355, 10.2848, 4.67181, 840, 0.5625
0, 0, 10.7522, 10.5051, 7.01155, 4.16364, 841, 0.25
0, 0, 9.0276, 8.11872, 12.7893, 3.91332, 842, 0.375
0, 0.208543, 6.71838, 10.2473, 10.7424, 6.12342, 843, 0.4375
0, 0, 9.49875, 8.788, 9.13303, 4.50474, 844, 0.375
0, 0, 7.41933, 9.23414, 14.9084, 6.27922, 845, 0.5
