row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445529,5387104,1,888,piceabie,20,0.0162,30,0,9.0278,8.1506,0.1141,0.1358,5.0920,0.0000,0.0000,1.0000,0.6597,12.0003
0,0,0,3445529,5387104,1,888,piceabie,10,0.0120,2,7,8.1046,7.4963,0.0796,0.0591,5.0920,0.0000,0.0000,1.0000,0.6597,12.0003
0,0,0,3445529,5387104,1,888,fagusilv,160,13.3798,1,0,133.3923,41.2195,0.6773,0.9592,5.0920,0.0000,0.0000,1.0000,0.4660,12.0003
0,0,0,3445529,5387104,1,888,fagusilv,20,0.0424,41,0,11.2107,9.4768,0.2422,0.6330,5.0920,0.0000,0.0000,1.0000,0.4660,12.0003
0,0,0,3445529,5387104,1,888,fagusilv,10,0.0223,12,0,8.6849,7.7930,0.1431,0.4190,5.0920,0.0000,0.0000,1.0000,0.4660,12.0003
0,0,0,3445529,5387104,1,888,fagusilv,0,0.0126,10,0,6.9186,6.5682,0.0845,0.0000,5.0920,0.0000,0.0000,0.0000,0.0000,12.0003
0,1,1,3445554,5387104,1,891,abiealba,70,0.2359,2,0,24.9870,18.3083,0.1432,0.4298,5.1554,0.0000,0.0000,1.0000,0.5193,7.8641
0,1,1,3445554,5387104,1,891,fagusilv,120,5.2364,2,0,83.8686,35.6261,0.7018,0.9658,5.1554,0.0000,0.0000,1.0000,0.4637,7.8641
0,1,1,3445554,5387104,1,891,fagusilv,70,0.5715,8,0,31.8314,20.6609,0.2604,0.6737,5.1554,0.0000,0.0000,1.0000,0.4637,7.8641
0,1,1,3445554,5387104,1,891,fagusilv,60,0.1648,11,0,19.2291,14.3338,0.1116,0.3204,5.1554,0.0000,0.0000,1.0000,0.4637,7.8641
0,1,1,3445554,5387104,1,891,fagusilv,50,0.0458,1,0,11.5587,9.7027,0.0769,0.2142,5.1554,0.0000,0.0000,1.0000,0.4637,7.8641
0,1,1,3445554,5387104,1,891,querpetr,70,0.1621,1,1,19.1029,12.6237,0.0796,0.0775,5.1554,0.0000,0.0000,1.0000,0.4175,7.8641
0,2,2,3445579,5387104,1,893,piceabie,0,0.0117,12,0,8.0425,7.4520,0.1981,0.0000,3.4217,0.0000,0.0000,0.0000,0.0000,15.2954
0,2,2,3445579,5387104,1,893,fagusilv,210,15.9129,1,0,146.0976,42.0051,0.6346,0.9480,3.4217,0.0000,0.0000,1.0000,0.4622,15.2954
0,2,2,3445579,5387104,1,893,fagusilv,0,0.0137,24,0,7.1478,6.7293,0.2363,0.0000,3.4217,0.0000,0.0000,0.0000,0.0000,15.2954
0,3,3,3445604,5387104,1,896,fagusilv,120,4.7710,2,0,80.2751,34.9876,0.1739,0.4924,4.8332,0.0000,0.0000,1.0000,0.4600,1.4690
